Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
243458,Airplane,GERALD R FORD INTL,< 1000 ft,LEARJET-31,1,1,Precautionary Landing,17/08/2006 0:00,Caused damage,BUSINESS,Michigan,Take-off run,"Rain, Snow",TRUE,FALSE,"FIRST YEAR RED-TAILED HAWK, IS BY USDA, WS.",Medium,Some Cloud,Red-tailed hawk,N,0,0,0,No
243464,Airplane,ALBUQUERQUE INTL,< 1000 ft,B-737,2 to 10,8,None,6/01/2006 0:00,No damage,UNITED AIRLINES,New Mexico,Climb,None,FALSE,FALSE,5 BIRDS REMOVED BY ARPT OPS,Small,No Cloud,Unknown bird - small,Y,0,0,0,Yes
250216,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-737-700,2 to 10,4,None,2/11/2007 0:00,Caused damage,AIRTRAN AIRWAYS,Minnesota,Landing Roll,None,TRUE,FALSE,ATC REPTD B737 HIT 2 BIRDS DURING LDG ROLL ON 30L. I INSPCTD RWY AND FOUND REMAINS OF 2 EUST BETWEEN 7000 AND 60000 DISTANCE REMAINING MARKERS. FAA AND PILOT WILL ALSO BE SUBMITTING WILDLIFE STRIKE FORM. MX REPTD NO DMG.,Small,No Cloud,European starling,Y,0,0,0,Yes
250217,Airplane,SACRAMENTO INTL,< 1000 ft,MD-83,1,1,None,2/11/2007 0:00,No damage,AMERICAN AIRLINES,California,Approach,None,FALSE,FALSE,,Small,No Cloud,Unknown bird - small,Y,0,10,0,No
250219,Airplane,LOS ANGELES INTL,< 1000 ft,B-767-200,1,1,None,2/10/2007 0:00,No damage,AMERICAN AIRLINES,California,Approach,None,FALSE,FALSE,NO DMG,Medium,No Cloud,Unknown bird - medium,N,0,"1,000",0,Yes
250221,Airplane,LOVELL FIELD ARPT,< 1000 ft,BE-400 BJET,1,1,None,11/09/2007 0:00,No damage,BUSINESS,Tennessee,Landing Roll,None,FALSE,FALSE,CARCASS NOT FOUND. PILOT REPTD SEEING BIRD AS IT HIT A/C. NO DMG.,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
250223,Airplane,WILKES-BARRE/SCRANTON INTL,< 1000 ft,CL-RJ100/200,1,1,None,30/09/2007 0:00,No damage,PINNACLE,Pennsylvania,Approach,None,FALSE,FALSE,NO DMG.,Small,No Cloud,Unknown bird - small,N,0,200,0,No
250224,Airplane,COLUMBIA METRO,< 1000 ft,CL-RJ100/200,1,1,None,30/09/2007 0:00,No damage,PSA AIRLINES,South Carolina,Approach,None,FALSE,FALSE,"# STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Medium,No Cloud,Unknown bird - medium,N,0,5,0,No
250225,Airplane,TAMPA INTL,> 1000 ft,B-737-700,1,1,None,30/09/2007 0:00,No damage,SOUTHWEST AIRLINES,Florida,Approach,None,FALSE,FALSE,NO DMG,Small,No Cloud,Unknown bird - small,N,0,"1,400",0,Yes
250237,Airplane,AIRBORNE AIRPARK,> 1000 ft,B-767-200,1,1,None,9/10/2007 0:00,No damage,ABX AIR,Ohio,Approach,None,FALSE,FALSE,BIRDSTRIKE BELOW CAPT'S WINDOW. INSPN. NO DMG NOTED.,Small,No Cloud,Unknown bird - small,N,0,"3,500",0,Yes
250241,Airplane,PHOENIX SKY HARBOR,> 1000 ft,B-737-700,1,1,None,10/10/2007 0:00,No damage,SOUTHWEST AIRLINES,Arizona,Climb,None,TRUE,FALSE,"NO DMG. SPOT ON WINDSHLD 12"" X 6 "".",Medium,No Cloud,Unknown bird - medium,N,111,"4,000",0,Yes
250244,Airplane,LOS ANGELES INTL,< 1000 ft,B-757-200,2 to 10,5,Precautionary Landing,29/11/2007 0:00,Caused damage,UNITED AIRLINES,California,Climb,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA 2258. BIRD(S) INGESTED IN RT ENG. DECLARED EMERGENCY SHUT DOWN RT ENG & RETD TO LAND. BASED ON ENG DMG AND DISTRIBUTION OF DEBRIS (INLET ACOUSTIC TREATMENT, 13 FAN BLADES DAMAGED AND REQD REPLACEMENT. ENG WAS NOT SHUT DOWN UNTIL ON",Medium,Overcast,Western grebe,N,"2,111,275","1,000",0,Yes
